dev_name;dev_type;code_level
DED3S1V5KU01;V7000;8.3.1.2 (build 150.24.2008101830030)
DEN3-SVC001;SVC;8.3.1.5 (build 150.27.2104221539000)
DEN3-SVC002;SVC;8.3.1.5 (build 150.27.2104221539000)
DEN3S1V70KI08;V7000;8.3.1.5 (build 150.27.2104221539000)
DEN3S1V7KU05;V7000;8.3.1.5 (build 150.27.2104221539000)
DEN3S1V7KU06;V7000;8.3.1.5 (build 150.27.2104221539000)
DEN3S1V7KU07;V7000;8.3.1.5 (build 150.27.2104221539000)
DEN6S1V50KU01;V5000;8.3.1.2 (build 150.24.2008101830030)
IRV1S1V50KI01;V5000;8.3.1.2 (build 150.24.2008101830000)
LAX1S1V50KI01;V5000;8.3.1.2 (build 150.24.2008101830030)
NSH1S1V50KI01;V5000;8.3.1.2 (build 150.24.2008101830000)
PHL1S1V50KI01;V5000;8.3.1.2 (build 150.24.2008101830030)
RMS1S1V50KI01;V5000;8.3.1.2 (build 150.24.2008101830000)
SEA-SVC001;SVC;8.3.1.2 (build 150.24.2008101830000)
SEA-SVC002;SVC;8.3.1.2 (build 150.24.2008101830000)
SEA-SVC003;SVC;8.3.1.5 (build 150.27.2104221539000)
SEA1S1V70KI16;V7000;8.3.1.2 (build 150.24.2008101830000)
SEA1S1V70KI17;V7000;8.3.1.2 (build 150.24.2008101830000)
SEA1S1V7KU12;V7000;8.3.1.2 (build 150.24.2008101830000)
SEA1S1V7KU13;V7000;8.3.1.2 (build 150.24.2008101830000)
SEA1S1V7KU14;V7000;8.3.1.2 (build 150.24.2008101830000)
SEA1S1V7KU15;V7000;8.3.1.2 (build 150.24.2008101830000)
SEA2S1V50KU01;V5000;8.3.1.5 (build 150.27.2104221539000)
den3s1psfai01;FlashArray;5.3.8
den3s1pure0200;FlashArray;5.3.4
den4s1pure0100;FlashArray;5.3.4
sea1s1psfai02;FlashArray;5.3.15
sea1s1psfai03;FlashArray;5.3.8
sea1s1psfai04;FlashArray;5.3.8
sea1s1psfai05;FlashArray;5.3.8
sea1s1psfai06;FlashArray;6.0.3
sea1s1pure0100;FlashArray;5.3.4
sea1s1pure0200;FlashArray;5.3.4
DEN3S1BDCXU01;DCX;v8.2.2c
DEN3S1BDCXU02;DCX;v8.2.2c
DEN4S1BRX6I05;DCX;v8.2.2c
DEN4S1BRX6I06;DCX;v8.2.2c
SEA-DCX03;Brocade;v8.1.2f
SEA-DCX04;Brocade;v8.1.2f
SEA1S1B78KU01;Brocade;v7.4.2d
SEA1S1B78KU02;Brocade;v7.4.2d
SEA1S1BDCXU01;DCX;v8.2.2c
SEA1S1BDCXU02;DCX;v8.2.2c
SEA1S1BRX6I03;Brocade;v8.2.2c
SEA1S1BRX6I04;Brocade;v8.2.2c
